anonid;took_fall;took_year;tookanother;numeconclass;econmajor;Major;Major_STEM;Major_Business;Major_Finance;Major_Marketing;Major_SocSc;Major_Arts;Major_Comm;Major_Hum;female;greek;econ_hs;varsity;class_fe;class_fe2;yr_2016;treatment_class;treat2016;female_prof;instate;freshman;american;ACumGPA;gradePrinciples;small_class;grade3301;fem2016;femtreat16;female_treat;Testscore3301;top;surveyed;ecojobs_a;ecojobs_b;ecojobs_c;ecojobs_d;ecojobs_e;ecojobs_f;ecojobs_g;ecojobs_h;major_current_a;major_current_b;survey_econmajor
705;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;0;0;0;6;6;0;0;0;1;0;1;1;4;4;0;;0;0;0;;1;1;;;;;;;;;Finance;;0
706;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;3.332;2;0;;0;0;1;;0;1;Investment banking;Hedge fund;;;;;;;Business Marketing;Dance;0
707;0;0;1;8;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;3;3;1;1;1;0;0;1;1;3.021;3.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
708;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;2;2;1;1;1;1;0;1;1;3.606;2.6700001;0;;1;1;1;;0;1;Banker;Finance;Management;Analysis;;;;;Finance;Advertising;0
709;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;1;1;0;8;8;0;0;0;0;1;1;1;3.78;3.6700001;1;;0;0;0;;1;1;Teacher;Work in an office;;;;;;;Finance;;0
710;0;0;1;11;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;1;1;0;1;0;0;0;1;1;2.872;2;0;3.3299999;0;0;0;;0;0;;;;;;;;;;;
711;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;1;0;0;1;0;1;1;3.845;3.6700001;0;;0;0;0;;1;0;;;;;;;;;;;
712;0;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;3;3;1;1;1;0;0;1;1;3.375;3;0;3.3299999;0;0;0;.45;0;0;;;;;;;;;;;
713;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;0;1;0;2;2;0;1;0;1;0;1;1;3.513;3;0;;0;0;1;;0;1;Economist;Stock trader;;;;;;;Finance;Advertising;0
714;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;0;0;;31;0;0;0;1;0;1;1;2.483;.67000002;0;;0;0;0;;0;1;Accountant;Financial Advisor;Military;Doctor;;;;;Unsure;;0
715;0;0;1;4;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;1;1;0;8;8;0;0;0;0;0;1;1;3.85;3.6700001;1;4;0;0;0;.8;1;1;Accountant;Banker;Financial Analyst;Hedgefunder;Stockbroker;;;;Business;;0
716;0;0;0;0;0;Philosophy - BA;0;0;0;0;0;0;0;1;0;;;;5;5;0;0;0;0;0;1;1;2.815;2.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
717;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;0;0;0;0;4;4;1;1;1;1;1;0;1;3.526;4;1;;0;0;0;;0;1;Consulting;Marketing;;;;;;;Psychology;;0
718;0;0;0;0;0;Corp Comm & Public Affrs - BA;0;0;0;0;0;0;1;0;0;;;;9;9;0;0;0;1;0;1;1;3.4;2.6700001;1;;0;0;0;;0;0;;;;;;;;;;;
719;1;1;1;5;1;Economics - BA;0;0;0;0;0;0;0;0;1;0;1;0;2;2;1;1;1;1;0;1;0;3.444;3;0;0;1;1;1;;0;1;Politician;Economist;Professor;;;;;;Math;Economics;1
720;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;1;1;0;0;5;5;0;0;0;0;0;1;1;2.987;2.3299999;0;;0;0;0;;0;1;Financial advisor;Financial investor;Financial analyser;Economist;Economics Professor;Hedgefund job;;;Business;;0
721;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.71;4;1;;0;0;0;;1;0;;;;;;;;;;;
722;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;0;1;1;5;5;0;0;0;0;1;0;1;3.364;3;0;;0;0;0;;0;1;;;;;;;;;Accounting;Economics;1
723;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;0;1;0;3;3;0;1;0;0;0;1;1;2.878;3;0;;0;0;1;;0;1;;;;;;;;;Business;;0
724;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.555;.33000001;0;;0;0;1;;0;1;Compensation;Stock market;Professor;;;;;;Marketing;;0
725;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;0;1;1;0;5;5;0;0;0;0;0;1;1;3.537;.33000001;0;;0;0;0;;0;1;Consultant;Professor;Business manager;;;;;;Business Marketing;Advertising;0
726;0;0;0;0;0;Human Rights - BA;0;0;0;0;1;0;0;0;0;1;1;0;5;5;0;0;0;0;1;1;1;2.578;.33000001;0;;0;0;0;;0;1;Teacher/ professor;Stock broker;;;;;;;Business ;Computer Science;0
727;0;1;1;2;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.42;3;0;3.3299999;0;0;1;.5;0;1;Accountant;Financial advisor;;;;;;;Finance;;0
728;0;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;6;6;0;0;0;1;1;1;1;3.3;3;0;3;0;0;0;.75;0;1;Economist;Political think tank;Manager of a business;Treasurer;Work for Fed;Advisor;;;Marketing;Finance;0
729;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;3.94;4;0;;0;0;0;;1;1;Financial Analyst;Economist;Fed;Stockbroker;;;;;Alternative Finance;;0
730;0;1;1;10;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;1;1;0;1;0;0;0;1;1;3.4;3;0;2;0;0;0;.45;0;0;;;;;;;;;;;
731;0;0;0;0;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;;;;5;5;1;0;0;0;0;1;1;2.993;2;0;;1;0;0;;0;0;;;;;;;;;;;
732;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;3;3;1;1;1;0;0;1;1;3.475;4;0;;0;0;0;;0;1;;;;;;;;;Finance;;0
733;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;1;1;0;9;9;1;0;0;1;0;1;1;3.157;2.6700001;0;;0;0;0;;0;1;;;;;;;;;EMIS;;0
734;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;0;0;0;2.914;1;0;;0;0;0;;0;1;Economist;Business Analyst;Financial Advisor;;;;;;Finance;;0
735;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;;31;0;0;0;1;0;1;1;3.314;3;0;;0;0;0;;0;1;Econs teacher;;;;;;;;Finance;;0
736;1;1;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;;31;0;0;0;1;0;1;1;2.737;1.67;0;3;0;0;0;.65;0;0;;;;;;;;;;;
737;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;;;;2;2;0;1;0;1;0;1;1;3.512;.33000001;0;;0;0;0;;0;0;;;;;;;;;;;
738;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;0;1;0;2;2;0;1;0;1;1;1;1;3.366;4;0;;0;0;1;;0;1;Unsure;;;;;;;;Finance;;0
739;0;0;0;0;0;4+1 Undergraduate Engineering;1;0;0;0;0;0;0;0;0;0;1;0;3;3;0;1;0;0;1;1;1;3.312;3;0;;0;0;0;;0;1;Financial Advisor;Broker;Investment Banking;;;;;;Civil Engineering;;0
740;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;6;6;0;0;0;1;1;1;1;3.892;4;0;;0;0;0;;1;1;Investment banking;Hedgefund Manager;Consultant;;;;;;Finance;;0
741;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;0;1;3.91;3.6700001;0;;0;0;0;;1;0;;;;;;;;;;;
742;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;0;0;1;0;2;2;1;1;1;1;0;1;1;3.389;3.3299999;0;;0;0;0;;0;1;Business management;Professor of Economics;Marketing;Finance;Public policy think tank;International business;Economist;Risk Management;Business;Economics;1
743;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;8;8;0;0;0;0;0;1;1;3.417;3.3299999;1;;0;0;0;;0;1;Teacher;Government job;;;;;;;Finance;Accounting;0
744;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;1;1;1;9;9;0;0;0;1;0;1;1;3.97;4;1;;0;0;0;;1;1;Federal government;Any state government;;;;;;;Management Science;;0
745;0;0;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.415;2.6700001;0;3;0;0;0;;0;0;;;;;;;;;;;
746;0;0;0;0;0;Fashion Media - BA;0;0;0;0;0;1;0;0;1;;;;5;5;0;0;0;0;0;1;1;2.868;2;0;;0;0;0;;0;0;;;;;;;;;;;
747;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;7;7;1;0;0;0;0;1;1;3.556;4;1;;1;0;0;;0;0;;;;;;;;;;;
748;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;3.06;3;0;;0;0;0;;0;1;;;;;;;;;Marketing;Finance;0
749;0;1;1;12;1;Economics - BS;0;0;0;0;0;0;0;0;1;;;;;31;0;0;0;1;0;1;0;3.204;3.3299999;0;3;0;0;0;.75;0;0;;;;;;;;;;;
750;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;;;;7;7;0;0;0;0;0;1;0;3.546;.33000001;1;;0;0;0;;0;0;;;;;;;;;;;
751;0;0;0;0;0;German - BA;0;0;0;0;0;0;0;1;1;0;0;0;2;2;0;1;0;1;0;1;1;3.048;2;0;;0;0;1;;0;1;Economist;Writer;Professor;Reporter;;;;;Marketing;Advertising;0
752;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;1;1;0;3;3;1;1;1;0;1;1;1;3.406;3.6700001;0;;0;0;0;;0;1;Economic advisor;;;;;;;;Accounting;Finance;0
753;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;3;3;0;1;0;0;0;1;1;3.4;3.3299999;0;;0;0;0;;0;0;;;;;;;;;;;
754;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;0;0;0;7;7;1;0;0;0;1;1;1;3.896;4;1;;1;0;0;;1;1;Financial Analyst;Consultant;Bank job;;;;;;Accounting;;0
755;0;0;1;10;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;3.383;4;0;3.3299999;0;0;1;.6;0;1;;;;;;;;;Business;Political Science;0
756;0;0;0;0;0;Physics - PMJ;1;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.165;2;0;;0;0;0;;0;0;;;;;;;;;;;
757;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;;;;5;5;1;0;0;0;0;1;1;3.282;.33000001;0;;0;0;0;;0;0;;;;;;;;;;;
758;0;0;1;2;1;Economics - BA;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;3.866;4;0;4;0;0;1;.75;1;1;Researcher;Teacher;;;;;;;Undecided;;0
759;0;0;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;1;0;3;3;0;1;0;0;0;1;1;3.034;2.3299999;0;1.33;0;0;0;;0;1;Consultant;CEO;Business;;;;;;Business;Acting;0
760;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;3.434;3.6700001;0;;0;0;0;;0;1;Analyst;Consulting;Banking;Investment banking;Communications;;;;Finance;Alternative Assets;0
761;1;1;1;1;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;0;1;0;2;2;0;1;0;1;0;1;1;3.462;3;0;4;0;0;0;.75;0;1;Professor;Consultant;;;;;;;Finance;;0
762;0;0;0;0;0;Statistical Science - BS;1;0;0;0;0;0;0;0;0;1;1;0;6;6;0;0;0;1;0;1;1;3.11;2;0;;0;0;0;;0;1;Teacher;Economist;Consultant;;;;;;Statistics;;0
763;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;1;0;5;5;0;0;0;0;0;1;1;2.74;2.3299999;0;;0;0;0;;0;1;Buyer;Banker;Real estate;Politician;Lawyer;Professor;Finance;Policy maker;Marketing;Finance;0
764;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;3.417;2.3299999;0;;0;0;0;;0;1;Stock broker;;;;;;;;Real Estate;;0
765;0;0;0;0;0;Management - BBA;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;3.69;4;0;;0;0;0;;0;1;Consultant;Economics professor;Economist;CFO;CEO;;;;Biology;Business Management;0
766;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;3.207;2.3299999;0;;1;1;1;;0;1;;;;;;;;;Business (Accounting);;0
767;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;0;1;0;3;3;1;1;1;0;1;1;1;3.182;3.6700001;0;;1;1;1;;0;1;;;;;;;;;Business;;0
768;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;2;2;0;1;0;1;0;1;1;3.43;3;0;;0;0;0;;0;1;Economist;Finance;;;;;;;Finance;Accounting;0
769;0;0;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;3.592;3.6700001;0;2;0;0;0;.45;0;1;Anything really;;;;;;;;Business;Undecided;0
770;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;1;0;0;8;8;1;0;0;0;0;0;1;2.816;3;1;;0;0;0;;0;1;Financial analyst;;;;;;;;Film;Markets and culture;0
771;0;1;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;3;3;1;1;1;0;0;1;1;3.205;3;0;2.3299999;0;0;0;.65;0;0;;;;;;;;;;;
772;1;1;1;8;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.753;3.6700001;0;4;0;0;1;.65;1;1;Consulting;;;;;;;;Economics;Finance;1
773;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;0;0;0;9;9;1;0;0;1;1;1;1;3.148;4;0;;1;0;0;;0;1;Financial Analyst;Consulting;;;;;;;Management;;0
774;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;0;;;;9;9;1;0;0;1;0;1;1;3.571;4;0;;0;0;0;;0;0;;;;;;;;;;;
775;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.271;4;1;;0;0;0;;0;0;;;;;;;;;;;
776;0;0;0;0;0;Real Estate Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;7;7;0;0;0;0;0;1;1;3.834;3.3299999;1;;0;0;0;;1;1;Anything in finance or business;Teaching;Research - economist;Journalist;Tv broadcaster;Analyst;;;Finance;French;0
777;0;1;1;10;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;1;0;0;3;3;0;1;0;0;1;1;1;2.65;3.3299999;0;2;0;0;0;;0;1;Investment Banking;Financial Advising;;;;;;;Finance;;0
778;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;1;;;;5;5;0;0;0;0;0;1;1;2.488;1.67;0;;0;0;0;;0;0;;;;;;;;;;;
779;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;0;1;1;0;3;3;0;1;0;0;0;1;1;3.006;3;0;;0;0;0;;0;1;Unsure;;;;;;;;Psychology;Finance;0
780;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;8;8;0;0;0;0;0;1;1;3.4;3.3299999;1;;0;0;0;;0;0;;;;;;;;;;;
781;0;0;0;0;0;Economics - PMJ;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;1;0;0;0;1;0;3.26;2.3299999;0;;0;0;0;;0;1;Economist;Politician;;;;;;;Finance;Marketing;0
782;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;1;1;1;0;6;6;0;0;0;1;0;1;1;3.69;2.6700001;0;;0;0;0;;0;1;Econs analysis;Financial job;Banking job;;;;;;Marketing;Accounting;0
783;0;0;0;0;0;Spanish - BA;0;0;0;0;0;0;0;1;1;1;1;0;9;9;1;0;0;1;0;1;1;3.033;1.33;0;;1;0;0;;0;1;Teacher;Banker;Salesman;;;;;;Advertising;Spanish;0
784;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;1;0;0;0;;30;0;0;0;0;0;1;1;3.42;3.6700001;1;;0;0;0;;0;1;Financial consulting;Advertising offices;Companies;Government;Schools;;;;Management;Psychology;0
785;0;0;0;0;0;Biochemistry - PMJ;1;0;0;0;0;0;0;0;1;;;;1;1;0;1;0;0;0;1;1;2.922;.33000001;0;;0;0;1;;0;0;;;;;;;;;;;
786;0;0;0;0;0;Risk Mngmt & Insurance - BBA;0;0;0;0;0;0;0;0;1;;;;9;9;0;0;0;1;0;1;1;3.518;4;1;;0;0;0;;0;0;;;;;;;;;;;
787;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;1;1;0;3;3;0;1;0;0;0;1;1;3.37;2;0;;0;0;1;;0;1;Manager;Business;Economist;;;;;;Accounting;Finance;0
788;0;1;1;8;1;Economics - BA;0;0;0;0;0;0;0;0;0;;;;1;1;0;1;0;0;0;1;0;2.8;2;0;2.6700001;0;0;0;.6;0;0;;;;;;;;;;;
789;0;0;0;0;0;Undecided DCI;0;0;0;0;0;1;0;1;0;;;;5;5;0;0;0;0;0;1;1;1.875;1.33;0;;0;0;0;;0;0;;;;;;;;;;;
790;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;1;0;5;5;0;0;0;0;0;1;1;2.88;2;0;;0;0;0;;0;1;;;;;;;;;Psychology;;0
791;0;0;0;0;0;Political Science - BA;0;0;0;0;1;0;0;0;0;;;;9;9;1;0;0;1;0;0;1;2.815;3.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
792;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;8;8;0;0;0;0;0;1;1;3.824;4;1;;0;0;0;;1;1;Economic advisor;Financial advisor;;;;;;;Finance;French;0
793;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;5;5;0;0;0;0;0;1;1;3.555;3.3299999;0;;0;0;0;;0;1;Wallstreet;Analyst;Business world;Accounting/ financia firm;;;;;Finance;;0
794;0;0;0;0;0;Film & Media Arts - BA;0;0;0;0;0;1;0;0;0;1;1;0;6;6;0;0;0;1;0;1;1;3.373;2.3299999;0;;0;0;0;;0;1;Economist;Economics professor;;;;;;;Finance;Film;0
795;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.878;4;0;;0;0;1;;1;1;Political position;;;;;;;;Finance;Accounting;0
796;0;1;1;2;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;1;0;1;0;1;1;3.1;3;0;3.6700001;0;0;0;.7;0;1;Investment Banker;Finance;Entrepreneurship;;;;;;Finance;Economics;1
797;0;0;1;4;0;Environmental Studies - BA;1;0;0;0;0;0;0;0;0;1;0;0;6;6;0;0;0;1;0;1;1;2.444;1;0;3;0;0;0;.6;0;1;Economic advisor;Financial advisor;International economist;Teacher/ Professor;General Business;;;;Environmental studies;Statistics;0
798;0;0;0;0;0;Sociology - BA;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;1.5;0;0;;1;1;1;;0;1;;;;;;;;;;;0
799;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;8;8;0;0;0;0;0;1;1;3.627;4;1;;0;0;0;;0;1;Hedgefund Manager;Economic professor;Chairman of federal reserve;;;;;;Finance;;0
800;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;0;0;1;0;2;2;0;1;0;1;0;1;1;3.709;3.6700001;0;;0;0;0;;1;1;Government;Economist;Stock broker;;;;;;Finance;;0
801;1;1;1;10;1;Economics - BS;0;0;0;0;0;0;0;0;1;1;0;0;9;9;1;0;0;1;0;0;1;3.383;4;0;3;1;0;0;.7;0;1;Analyst;Accounting;Investment banker;Tax lawyer;;;;;Markets and culture;Spanish;0
802;0;0;0;0;0;WL: Spanish - BA;0;0;0;0;0;0;0;1;1;1;0;0;5;5;0;0;0;0;0;1;1;3.46;2.3299999;0;;0;0;0;;0;1;CEO;CFO;Marketing;Accounting;Finance;;;;Spanish;English;0
803;1;1;1;2;0;Art History - PMJ;0;0;0;0;0;1;0;1;0;1;0;0;3;3;0;1;0;0;0;1;1;3.425;4;0;4;0;0;0;.65;0;1;Banking;Teaching;Entrepreneur;Insurance;;;;;Finance;Real Estate Finance;0
804;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;1;1;3.241;3;0;4;0;0;0;.7;0;1;Business;;;;;;;;Economics;Finance;1
805;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;1;3.811;3;0;;0;0;1;;1;1;Business job;;;;;;;;Management;Chinese;0
806;0;0;1;1;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;;;;1;1;0;1;0;0;0;1;0;3.157;3;0;;0;0;0;;0;0;;;;;;;;;;;
807;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;1;0;3.58;3.6700001;0;;0;0;0;;0;1;Investment Banker;Real estate;Business consulting;Professor;;;;;Business;Acting;0
808;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;0;0;2;2;0;1;0;1;0;1;1;3.239;3;0;;0;0;1;;0;1;Unsure;;;;;;;;Business;Spanish;0
809;1;1;1;3;1;Economics - BS;0;0;0;0;0;0;0;0;1;0;1;0;6;6;0;0;0;1;0;1;1;4;4;0;4;0;0;0;.75;1;1;Business consultant;Fed Reserve employee;;;;;;;Finance;Economics;1
810;0;0;1;2;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;;;;6;6;0;0;0;1;0;1;1;3.566;3;0;;0;0;0;;0;0;;;;;;;;;;;
811;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.048;3.3299999;1;;0;0;0;;0;0;;;;;;;;;;;
812;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;1;0;1;1;3.68;2.6700001;0;3;0;0;0;.65;0;1;;;;;;;;;Economics;;1
813;0;0;1;1;0;Finance - BBA;0;0;1;0;0;0;0;0;1;0;1;0;4;4;0;1;0;1;0;1;1;3.84;3.6700001;1;;0;0;1;;1;1;Working with a business;Working in international relations;;;;;;;Business;;0
814;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;2.912;3;0;;0;0;1;;0;1;Not sure;;;;;;;;Business Marketing;;0
815;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;6;6;0;0;0;1;0;1;1;4;4;0;;0;0;0;;1;1;Job at the Fed;Consultant;;;;;;;Business;Pre-med;0
816;1;1;1;9;1;Economics - BA;0;0;0;0;0;0;0;0;0;1;1;0;6;6;0;0;0;1;0;1;1;3.13;2.6700001;0;3;0;0;0;.8;0;1;Consultant;Government;Management of large firm;;;;;;Economics;Political Science;1
817;0;0;0;0;0;Undeclared UG Arts;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;1;3.558;2;0;;0;0;1;;0;1;Working for the stock market;Working for any business;;;;;;;Dance;Business;0
818;0;0;0;0;0;Computer Science - BS;1;0;0;0;0;0;0;0;0;1;0;0;5;5;0;0;0;0;0;1;1;3.212;2.3299999;0;;0;0;0;;0;1;Politician;Businessman;Professor/ teacher;Banker;;;;;Computer science;;0
819;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;2.912;1.67;0;;0;0;0;;0;1;Banker;;;;;;;;Markets & Culture;;0
820;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;;;;1;1;0;1;0;0;0;1;1;3.323;3.3299999;0;;0;0;1;;0;0;;;;;;;;;;;
821;1;1;1;4;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;8;8;0;0;0;0;0;1;1;3.448;4;1;3.6700001;0;0;0;.75;0;1;Walstreet;;;;;;;;Finance;Economics;1
822;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;;31;0;0;0;1;0;1;1;2.97;3;0;;0;0;0;;0;1;Hedgefund management;Small business owner;Finance;;;;;;Finance;Political Science;0
823;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.067;2.6700001;0;;0;0;0;;0;0;;;;;;;;;;;
824;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;3;3;0;1;0;0;1;1;1;3.571;3.3299999;0;;0;0;0;;0;1;Analyst;Consulting;Economist;;;;;;Finance;;0
825;0;1;1;4;0;Finance - BBA;0;0;1;0;0;0;0;0;0;1;1;0;2;2;0;1;0;1;0;1;1;4;4;0;4;0;0;0;.75;1;1;Professor;Economist;;;;;;;Finance;;0
826;0;0;0;0;0;PR and Strategic Comm - BA;0;0;0;0;0;0;1;0;1;1;0;0;5;5;0;0;0;0;0;1;1;3.096;2.6700001;0;;0;0;0;;0;1;Financial field;Business;Consulting;Entrepreneurship;;;;;Unsure;;0
827;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;2;2;0;1;0;1;0;1;1;3.718;3;0;;0;0;1;;1;1;Investment Banker;Analyst;Professor;;;;;;Business;Engineering;0
828;0;0;0;0;0;French - BA;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;1;1;3.422;3.6700001;0;;0;0;1;;0;1;;;;;;;;;Marketing;French;0
829;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;0;0;3;3;0;1;0;0;0;1;1;3.511;2.6700001;0;;0;0;1;;0;1;Finance;Marketing Manager;Consultant;;;;;;Marketing;Psychology;0
830;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;0;0;4;4;0;1;0;1;0;1;1;3.73;3.3299999;1;;0;0;1;;1;1;Any business related job;Professor;;;;;;;Unsure;;0
