anonid;took_fall;took_year;tookanother;numeconclass;econmajor;Major;Major_STEM;Major_Business;Major_Finance;Major_Marketing;Major_SocSc;Major_Arts;Major_Comm;Major_Hum;female;greek;econ_hs;varsity;class_fe;class_fe2;yr_2016;treatment_class;treat2016;female_prof;instate;freshman;american;ACumGPA;gradePrinciples;small_class;grade3301;fem2016;femtreat16;female_treat;Testscore3301;top;surveyed;ecojobs_a;ecojobs_b;ecojobs_c;ecojobs_d;ecojobs_e;ecojobs_f;ecojobs_g;ecojobs_h;major_current_a;major_current_b;survey_econmajor
92;1;1;1;9;1;Economics - BS;0;0;0;0;0;0;0;0;0;1;1;0;7;7;0;0;0;0;1;1;1;3.554;3.3299999;1;3.3299999;0;0;0;.5;0;1;Consulting;Professor;Research group;Financial investigator;;;;;Economics;Mathematics;1
93;0;0;0;0;0;Applied Phys & Sport Mgmt - BS;1;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;1.742;1;0;;0;0;0;;0;0;;;;;;;;;;;
94;0;1;1;5;0;Human Rights - BA;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;1;3.417;3;0;4;0;0;0;.65;0;1;Economist;;;;;;;;Business;Human Rights;0
95;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;1;3.24;2;0;;0;0;1;;0;1;Accountant;Political Advisor ;Wallstreet/ Stockmarket;Bonds Specialist;Bank Manager;;;;Engineering Management;Political Science;0
96;0;0;0;0;0;Biological Sciences - BS;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;2.919;3;0;;0;0;0;;0;1;Professor;Researcher;Business owner;Consultant;Business Strategist;Fast food employee;Lawn care crew;Drug dealer;Biology;Finance ;0
97;0;1;1;5;0;Educational Studies - BS;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;1;2.716;2;0;2;0;0;1;.6;0;1;Not Sure;;;;;;;;Statistics;Business;0
98;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;1;1;1;0;8;8;0;0;0;0;0;0;1;3.472;3.3299999;1;;0;0;0;;0;1;Economic advisor;Government economic advisor;Economist;;;;;;Marketing;Art History;0
99;0;0;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;6;6;0;0;0;1;0;1;1;2.629;.33000001;0;1.67;0;0;0;.35;0;0;;;;;;;;;;;
100;0;0;0;0;0;Marketing - BBA;0;0;0;1;0;0;0;0;1;1;1;0;7;7;0;0;0;0;1;1;1;3.44;2.6700001;1;;0;0;0;;0;1;Financial advisor;Stockbroker;Economics teacher/ professor;;;;;;Business Management;Public relations;0
101;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;4;4;0;1;0;1;0;1;1;4;4;1;;0;0;1;;1;1;Finance industry jobs;Consultant ;Analyst;Teacher;Professor;;;;Finance;Economics;1
102;0;1;1;3;0;Political Science - BA;0;0;0;0;1;0;0;0;0;0;1;0;5;5;1;0;0;0;0;0;1;2.9;3;0;3;0;0;0;.8;0;1;;;;;;;;;Political science;Public Policy;0
103;1;1;1;2;1;Economics w/ Fina Appl - PMJ;0;0;0;0;0;0;0;0;0;;;;3;3;0;1;0;0;0;0;1;2.041;2.3299999;0;3;0;0;0;;0;0;;;;;;;;;;;
104;0;0;0;0;0;Accounting - BBA;0;1;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;1;1;3.227;3;0;;0;0;0;;0;0;;;;;;;;;;;
105;0;0;0;0;0;Management Science - BS;0;1;0;0;0;0;0;0;1;1;1;0;;32;1;0;0;1;1;0;1;3.855;3.6700001;1;;1;0;0;;1;1;Teacher;Statistician;Business Owner;;;;;;EMIS;;0
106;0;0;0;0;0;General Business - BBA;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;1;3.411;4;0;;0;0;0;;0;1;Professor;Researcher;Entrepreneur;;;;;;Business finance;;0
107;0;0;0;0;0;Philosophy - BA;0;0;0;0;0;0;0;1;0;;;;5;5;0;0;0;0;0;0;1;2.438;3;0;;0;0;0;;0;0;;;;;;;;;;;
108;0;1;1;9;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;2;2;0;1;0;1;0;1;1;3.162;4;0;4;0;0;0;.7;0;0;;;;;;;;;;;
109;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;0;0;0;4;4;0;1;0;1;0;0;1;3.746;2;1;;0;0;1;;1;1;Sales ;researcher;Professor;;;;;;Markets and Culture;;0
110;0;0;0;0;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;1;1;0;2;2;0;1;0;1;1;1;1;3.5;3.6700001;0;;0;0;1;;0;1;Econs professor;Analyst;;;;;;;Business;Markets & Culture;0
111;0;0;0;0;0;Business - PMJ;0;1;0;0;0;0;0;0;1;0;1;0;6;6;0;0;0;1;1;1;1;3.627;2;0;;0;0;0;;0;1;Wallstreet;Stock broker;Meryll Lynch;Investment;;;;;Management;Philosophy;0
112;0;1;1;3;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;1;9;9;0;0;0;1;1;1;1;3.87;4;1;4;0;0;0;.65;1;1;Banking;Business analytics;Professor;Investing;;;;;Business finance;;0
113;0;1;1;12;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;;;;9;9;0;0;0;1;0;1;1;3.196;3;1;3;0;0;0;.5;0;0;;;;;;;;;;;
114;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;0;0;0;2;2;0;1;0;1;0;1;1;3.4;3.3299999;0;;0;0;1;;0;1;Professor;;;;;;;;Finance;English;0
115;1;1;1;6;1;Economics - BA;0;0;0;0;0;0;0;0;0;0;1;0;;30;0;0;0;0;1;1;1;3.424;4;1;3;0;0;0;.6;0;1;Entrepreneur;Financial consultant;;;;;;;Economics;Business;1
116;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;1;1;1;0;8;8;0;0;0;0;1;1;1;3.806;4;1;;0;0;0;;1;1;Economist;Econs professor;Anything in the business world;;;;;;Finance;;0
117;0;0;0;0;0;Religious Studies - BA;0;0;0;0;0;0;0;1;1;1;1;0;2;2;0;1;0;1;1;1;1;3.824;4;0;;0;0;1;;1;1;Car Business;Business;;;;;;;Finance;Religious Studies;0
