treatment,el1,index_ctotal_el1,index_foodsecurity_el1,ind_fin_el1,ind_increv_updated_el1,asset_ind_tot_el1,vil_ham
0,1,1.932153,.4986659,.15631479,-.6475144,-.85693586,101
1,1,,,,,,32
0,1,2.101413,.37808228,-.0032790648,-1.1243577,-1.252279,83
0,1,-.65952772,.4986659,-.20775871,.71489483,.70998788,73
0,1,1.4971325,.37808228,.28398991,-.55019945,.38790369,4
0,1,1.392007,.4986659,.26601759,-1.2314041,-.32857981,60
1,1,-.74965036,.098861992,-.27259374,-1.2314041,-1.5455612,62
1,1,,,,,,51
1,1,,,,,,50
0,1,.19619334,.4986659,-.028215606,-1.2314041,-.85693586,109
1,1,-.08361268,.4986659,-.0052800123,.033690274,4.5890431,39
0,1,-.35495543,.4986659,1.5228373,2.3692489,-.19797382,48
1,1,.78620613,.4986659,.26603562,1.5985146,-.046169102,102
1,1,.99582148,2.0655677,-.28256834,-1.2314041,-1.7432327,118
0,1,,,,,,77
1,1,1.0731951,2.0655677,.51534086,2.9531386,-.169974,13
1,1,,,,,,87
0,1,1.0634866,-.77318037,.14634016,-.84214431,-1.7432327,1
1,1,.84122074,.37808228,-.24068096,-.9151305,-.98326731,76
1,1,.1420611,.051149033,.1263669,-.93945926,.03483922,61
1,1,-.41720778,.4986659,-.26261911,-.19013414,.35075834,2
0,1,.10871924,-.1813138,-.14920771,-1.230431,-1.3478895,48
0,1,-.18838072,.4986659,.026626758,.37429249,.095308341,31
1,1,-.10722152,.37808228,-.18481709,-.6358366,.39698958,77
1,1,.49162623,2.0655677,.15928313,3.3151503,.2043464,13
0,1,-1.2153643,2.0655677,-.24765718,-1.2314041,-1.5455612,84
0,1,,,,,,74
0,1,.32034472,.051149033,.47550252,-.3555696,.095308341,61
0,1,,,,,,77
1,1,-.25086835,.098861992,-.023228299,.12613945,-.59331691,115
1,1,.013718023,.4986659,-.086267881,.029797651,3.3702211,5
1,1,.75129467,-.34865487,-.16788429,1.5518034,,23
0,1,-.057698727,.4986659,.5453068,-.063624665,,19
0,1,.24467717,.4986659,-.00030471905,1.5537497,.78324682,39
1,1,-.49546403,.02517264,-.27259973,.46187606,,7
1,1,.069933996,-.42234424,.068538167,-1.1438206,,117
1,1,-.23015706,.051149033,-.01334381,-.93945926,-.32238644,56
1,1,.011437436,.4986659,-.1744985,-.91999626,-.30408499,77
0,1,,,,,,73
0,1,.096019648,.4986659,-.1429237,-1.2314041,.1530868,62
0,1,,,,,,89
0,1,-.12530506,.4986659,-.27259374,.4764733,1.9709947,115
0,1,-.23284425,-.42234424,-.15289831,.053153228,-.68195045,23
0,1,-1.2856776,-.34865487,-.23269525,-1.2314041,-1.0546074,20
0,1,.28739452,.37808228,-.1927968,-.063624665,-.38968956,19
1,1,1.5883343,2.0655677,.39071828,.33536658,,48
1,1,.035914645,.4986659,-.14297479,-.034430239,-.29086363,100
1,1,1.8085408,.37808228,-.19977902,-.74288309,-.89709967,12
1,1,.097696006,.098861992,-.013265698,.32563502,-.52005804,107
0,1,,,,,,115
0,1,.39791444,.098861992,1.3632435,.33536658,4.6458001,115
1,1,1.1865786,1.1390576,-.43383852,-.45288453,,66
0,1,-.20497359,1.8486543,-.020253953,1.1236178,.16856727,20
0,1,-.28011176,.4986659,-.23269525,3.1575003,-.53553849,19
0,1,-.39190656,.37808228,.77474105,.42294997,-1.0546074,39
0,1,,,,,,58
1,1,.46906105,.4986659,-.04317753,1.2014697,-.52005804,56
1,1,-.046754576,.4986659,-.0032970896,-.25825465,2.7269752,32
1,1,1.2035246,.37808228,-.20775871,-.50154203,.74933863,77
0,1,,,,,,87
0,1,-.29668435,-.42234424,-.18282217,-1.2314041,-1.5455612,60
0,1,1.5403802,.051149033,.0066955527,.95818216,-1.3478895,97
